"JURISDICTION.NAME","COUNT.PARTICIPANTS","COUNT.FEMALE","COUNT.MALE","COUNT.GENDER.UNKNOWN","COUNT.GENDER.TOTAL","COUNT.PACIFIC.ISLANDER","COUNT.HISPANIC.LATINO","COUNT.AMERICAN.INDIAN","COUNT.ASIAN.NON.HISPANIC","COUNT.WHITE.NON.HISPANIC","COUNT.BLACK.NON.HISPANIC","COUNT.OTHER.ETHNICITY","COUNT.ETHNICITY.UNKNOWN","COUNT.ETHNICITY.TOTAL","COUNT.PERMANENT.RESIDENT.ALIEN","COUNT.US.CITIZEN","COUNT.OTHER.CITIZEN.STATUS","COUNT.CITIZEN.STATUS.UNKNOWN","COUNT.CITIZEN.STATUS.TOTAL","COUNT.RECEIVES.PUBLIC.ASSISTANCE","COUNT.NRECEIVES.PUBLIC.ASSISTANCE","COUNT.PUBLIC.ASSISTANCE.UNKNOWN","COUNT.PUBLIC.ASSISTANCE.TOTAL"
11368,5,4,1,0,5,0,3,0,1,1,0,0,0,5,1,4,0,0,5,0,5,0,5
11369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11372,2,1,1,0,2,0,2,0,0,0,0,0,0,2,0,2,0,0,2,1,1,0,2
11373,3,3,0,0,3,0,0,0,0,3,0,0,0,3,0,3,0,0,3,1,2,0,3
11374,2,0,2,0,2,0,0,0,0,1,1,0,0,2,0,2,0,0,2,0,2,0,2
11375,5,2,3,0,5,0,2,0,0,0,3,0,0,5,0,5,0,0,5,1,4,0,5
11377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11415,11,6,5,0,11,0,0,0,0,11,0,0,0,11,1,10,0,0,11,5,6,0,11
11416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11418,4,2,2,0,4,0,1,0,0,0,1,1,1,4,0,4,0,0,4,1,3,0,4
11419,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1
11420,2,1,1,0,2,0,1,0,0,0,0,1,0,2,0,2,0,0,2,2,0,0,2
11421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11427,2,0,2,0,2,0,1,0,0,0,1,0,0,2,1,1,0,0,2,0,2,0,2
11428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11432,2,2,0,0,2,0,0,0,1,0,1,0,0,2,0,2,0,0,2,0,2,0,2
11433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11434,4,1,3,0,4,0,0,0,0,0,4,0,0,4,1,3,0,0,4,0,4,0,4
11435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11510,28,6,22,0,28,0,6,0,1,18,2,1,0,28,1,27,0,0,28,1,27,0,28
11548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11691,37,12,25,0,37,0,0,0,0,37,0,0,0,37,0,37,0,0,37,3,34,0,37
11692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11798,5,3,2,0,5,0,0,0,0,0,5,0,0,5,0,5,0,0,5,0,5,0,5
11968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12423,21,1,20,0,21,0,0,0,0,19,0,1,1,21,0,21,0,0,21,5,16,0,21
12428,124,74,50,0,124,2,1,0,0,117,0,4,0,124,0,124,0,0,124,71,53,0,124
12435,55,5,50,0,55,0,0,0,0,50,0,5,0,55,0,55,0,0,55,19,36,0,55
12458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12466,44,44,0,0,44,0,0,0,0,44,0,0,0,44,0,44,0,0,44,35,9,0,44
12473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12528,52,2,50,0,52,0,0,0,0,46,0,6,0,52,1,51,0,0,52,21,31,0,52
12701,87,49,38,0,87,0,0,0,0,83,0,2,2,87,0,87,0,0,87,18,69,0,87
12733,13,6,7,0,13,0,0,0,0,13,0,0,0,13,0,13,0,0,13,2,11,0,13
12734,252,170,82,0,252,0,0,0,0,243,0,4,5,252,0,252,0,0,252,61,191,0,252
12737,35,34,1,0,35,0,0,0,0,35,0,0,0,35,2,33,0,0,35,20,15,0,35
12750,37,36,1,0,37,0,0,0,0,37,0,0,0,37,0,37,0,0,37,21,16,0,37
12751,7,2,5,0,7,0,0,0,0,7,0,0,0,7,0,7,0,0,7,2,5,0,7
12754,134,64,70,0,134,2,0,0,0,127,0,4,1,134,1,133,0,0,134,27,107,0,134
12758,82,50,32,0,82,0,0,0,0,76,0,6,0,82,0,82,0,0,82,24,58,0,82
12759,11,0,11,0,11,0,0,0,0,11,0,0,0,11,0,11,0,0,11,8,3,0,11
12763,11,11,0,0,11,0,0,0,0,11,0,0,0,11,0,11,0,0,11,8,3,0,11
12764,64,61,3,0,64,0,0,0,0,62,0,2,0,64,0,64,0,0,64,5,59,0,64
12768,63,1,62,0,63,0,0,0,0,61,0,1,1,63,0,63,0,0,63,23,40,0,63
12779,242,183,59,0,242,0,0,0,0,239,0,3,0,242,1,241,0,0,242,155,87,0,242
12783,201,66,135,0,201,0,0,2,0,195,0,3,1,201,4,197,0,0,201,77,124,0,201
12786,4,3,1,0,4,0,0,0,0,4,0,0,0,4,0,4,0,0,4,1,3,0,4
12788,83,39,44,0,83,0,0,0,0,81,0,2,0,83,0,83,0,0,83,35,48,0,83
12789,272,115,157,0,272,0,0,0,0,262,0,6,4,272,1,271,0,0,272,70,202,0,272
13731,17,2,15,0,17,0,0,0,0,15,0,2,0,17,0,17,0,0,17,7,10,0,17
16091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
